"lfdn","duration","participant_device","v_99","v_101","v_100","v_11","v_12","v_13","v_14","v_15","v_16","v_103","v_104","v_105","v_106","v_107","v_108","v_109","v_110","v_111","v_113","v_114","v_126","v_112","v_115","v_116","v_117","v_118","v_119","v_120","v_121","v_122","v_123","v_124","v_127","v_133","v_65","v_18","v_19","v_20","v_21","v_22","v_23","v_24","v_25","v_26","v_27","v_28","v_29","v_66","v_67","v_68","v_69","v_70","v_71","v_37","v_38","v_39","v_40","v_41","v_42","v_43","v_72","v_45","v_81","v_82","v_83","v_84","v_85","v_86","v_87","v_88","v_89","v_90","v_91","v_92","v_93","v_94","v_95","v_62","v_63","v_60","v_61"
2589,1008,2,2,4,1,1,2,1,1,1,1,NA,NA,NA,NA,0,NA,NA,NA,2,NA,1,"Weil ich nicht möchte das Daten über meine Nutzung erfasst werden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,5,4,1,3,4,4,3,3,3,2,2,3,3,2,3,2,2,2,2,1,1,1,2,3,3,2,3,2,3,2,3,NA,5,NA
2590,908,0,1,7,1,1,2,1,2,2,5,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,2,NA,5,2,1,1,2,2,2,2,NA,2,2,2,2,3,4,1,2,4,4,4,4,4,3,3,3,3,3,3,2,1,2,2,1,1,1,3,3,3,2,2,1,2,2,6,NA,7,NA
2591,564,0,2,5,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,3,5,5,3,4,4,2,2,4,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,6,NA,10,NA
2592,451,0,2,6,2,1,2,1,1,2,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,2,NA,2,1,2,1,1,2,1,2,1,1,2,1,1,2,5,1,4,4,4,2,NA,3,3,3,3,4,1,3,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,NA,4,NA
2593,513,0,2,3,13,1,1,1,2,1,2,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,5,5,1,3,5,5,3,3,3,3,3,3,3,3,4,2,2,2,2,1,1,1,2,4,4,4,1,4,4,1,5,NA,8,NA
2594,543,1,2,4,7,1,1,1,1,2,2,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,1,0,NA,NA,NA,NA,NA,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,3,4,2,2,3,5,3,3,1,2,2,3,4,1,4,1,2,1,2,1,1,1,2,3,4,3,1,4,4,4,6,NA,4,NA
2595,457,0,2,5,3,1,1,1,2,2,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,6,NA,7,NA
2596,748,1,2,4,8,1,NA,1,1,1,2,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,1,1,1,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,3,5,4,3,3,3,2,2,2,2,2,3,2,2,1,2,1,1,2,1,3,3,3,4,2,3,2,4,NA,5,NA
2597,2021,0,1,4,9,1,2,1,1,1,2,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,0,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,3,4,4,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,6,NA,11,NA
2598,786,0,2,4,7,1,2,1,1,2,2,NA,NA,NA,NA,0,NA,NA,NA,2,NA,1,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,2,1,1,1,2,2,1,1,2,2,1,4,3,1,NA,3,3,3,3,3,3,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,6,NA,5,NA
2599,2120,0,1,5,7,1,2,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,2,NA,3,1,2,1,1,1,2,2,1,1,2,2,1,3,3,2,2,4,4,3,3,2,2,2,2,3,3,2,2,1,2,2,2,1,1,3,2,3,2,3,3,2,2,4,NA,4,NA
2600,463,0,1,6,1,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,1,1,1,1,2,2,1,1,1,1,2,1,1,5,5,2,3,4,4,3,4,4,3,3,4,3,3,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,6,NA,10,NA
2601,1165,2,2,3,1,1,2,1,1,2,2,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,1,2,5,5,3,4,3,3,2,4,3,2,2,2,2,2,2,1,1,1,1,1,3,1,2,2,3,1,4,NA,4,NA
2602,NA,0,1,5,10,1,1,1,1,1,2,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,NA,NA,NA,NA,NA,2,NA,2,1,1,1,1,1,2,2,1,1,1,1,1,5,5,1,2,5,5,3,4,3,NA,3,3,3,3,3,2,2,2,2,1,1,1,3,3,3,2,3,1,3,2,6,NA,8,NA
2603,408,1,1,5,10,1,2,1,1,1,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,1,1,1,1,1,1,1,1,1,1,1,2,1,4,5,1,3,4,5,3,3,3,3,4,4,4,4,3,1,2,1,2,2,2,2,2,2,2,1,2,NA,2,1,6,NA,5,NA
2604,593,0,2,6,9,1,2,1,1,2,2,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,0,0,0,1,2,NA,1,1,1,1,1,2,1,2,2,1,2,2,2,2,5,1,1,5,5,3,4,4,2,2,3,2,2,3,2,2,2,1,1,1,1,3,3,3,3,3,2,2,2,4,NA,4,NA
2605,610,0,1,4,3,1,2,1,1,2,2,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,5,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,NA,4,NA
2606,478,1,2,3,7,1,2,1,1,1,2,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,1,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,3,5,5,4,4,4,4,4,4,4,4,4,1,2,1,2,1,1,2,1,1,4,1,2,1,1,1,1,NA,1,NA
2607,728,1,2,5,10,1,NA,2,1,2,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,1,5,5,4,4,4,1,2,3,3,1,4,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,5,NA,4,NA
2608,NA,0,1,3,15,1,1,1,1,2,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,5,4,4,4,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,6,NA,1,NA
2609,506,0,2,3,10,1,2,1,2,1,2,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,0,0,1,0,0,NA,NA,NA,NA,NA,2,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,5,3,2,4,3,3,2,3,2,3,3,3,2,2,1,2,2,2,2,2,2,2,3,3,4,4,2,1,2,2,4,NA,4,NA
2610,2025,0,1,7,15,1,1,1,1,2,2,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,2,NA,3,1,2,1,1,2,2,2,1,1,2,2,1,3,5,1,4,5,5,4,4,4,3,4,3,3,3,4,1,2,2,2,1,1,1,2,2,2,2,4,4,4,4,6,NA,8,NA
2611,1169,2,2,6,1,1,2,1,1,2,2,NA,NA,NA,1,NA,NA,NA,NA,2,NA,1,"Weil ich nicht soviele Daten freigeben möchte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,2,1,1,1,2,2,2,2,1,2,2,2,3,4,2,3,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,3,4,2,2,2,3,3,7,"Berufsschule mit Abschluss",4,NA
2612,380,0,1,6,2,1,2,1,2,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,3,3,3,4,4,4,2,3,3,3,2,3,2,2,3,2,2,2,1,1,1,1,2,3,3,2,2,2,3,3,6,NA,5,NA
2613,338,0,2,6,13,1,2,1,2,2,3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"ich lade keine aps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,1,1,1,2,2,2,2,2,2,2,2,2,3,4,1,1,4,4,3,3,2,1,1,1,3,3,4,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,NA,6,NA
2614,1576,1,2,5,4,1,2,1,2,2,1,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,NA,NA,NA,NA,NA,2,NA,2,1,1,1,2,2,1,1,2,1,2,1,2,4,4,2,3,4,4,3,3,3,3,3,3,3,2,3,1,2,2,2,1,1,1,3,3,3,3,3,3,3,3,5,NA,7,NA
2615,666,0,2,6,10,1,2,1,2,1,1,NA,NA,NA,NA,NA,3,NA,NA,2,NA,1,"zu unsicher, dass meine Daten weitergeleitet werden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,1,1,1,2,2,2,1,1,1,1,1,2,4,4,2,3,4,4,3,2,1,3,3,2,3,2,2,1,1,1,2,1,2,2,2,2,3,2,2,3,3,3,4,NA,4,NA
2616,332,0,1,5,1,1,2,1,2,2,2,NA,NA,NA,NA,NA,0,NA,NA,2,NA,1,"ich hab daran einfach keine Interesse!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,NA,4,NA
2617,282,1,1,3,1,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,5,3,3,3,4,2,3,1,2,3,3,4,1,1,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,6,NA,1,NA
